icao,name
CLB,Flight Precision Limited
CLD,Clowes Estates Limited
CLE,Colemill Enterprises
CLF,Bristol Flying Centre
CLG,Chalair Aviation
CLH,Lufthansa CityLine
CLI,Calima Aviacion
CLJ,Cello Aviation
CLK,Clark Aviation
CLL,Aerovias Castillo
CLM,Cargo Link (Caribbean)
CLN,Barnes Olsen Aeroleasing
CLP,Aero Club De Portugal
CLR,Trans America
CLS,Challenge Air Transport
CLT,Caribbean Air Transport
CLU,Triple Alpha
CLV,Lom Praha Flying School
CLW,Centralwings
CLX,Cargolux
CLY,Clay Lacy Aviation
CLZ,Cloud 9 Air Charters
CMA,Central European Airlines
CME,Prince Edward Air
CMF,Air Care Alliance
CMG,Comet Airlines
CMH,Commair Aviation
CMI,Continental Micronesia
CMJ,Mudanjiang General Aviation
CMK,Chernomor-Avia
CML,Commander Air Charter
CMM,Compagnie Aerienne du Mali
CMN,Eckles Aircraft
CMP,Copa Airlines
CMR,CAM Air Management
CMS,Commercial Aviation
CMT,Casement Aviation
CMU,Northern Aviation Service
CMX,El Caminante Taxi Aereo
CMY,Cape Smythe Air
CMZ,CM Stair
CNA,Centavia
CNB,Cityline Hungary
CNC,Corporacion Aereo Cencor
CND,Aero Continente Dominicana
CNE,Air Toronto
CNF,Canaryfly
CNG,Coastal Airways
CNH,Aquila Air
CNI,Empresa Nacional De Servicios Aereos
CNJ,Nanjing Airlines
CNK,Sunwest Home Aviation
CNL,Centennial Airlines
CNN,Canadian World
CNO,SAS Braathens
CNR,Condor Aero Services
CNS,Centennial Flight Centre
CNT,CNET
CNU,Air Consul
CNW,China Northwest Airlines
CNX,Allcanada Express
CNY,Central Airways
COA,Continental Airlines
COD,Concordavia
COE,Comtel Air
COF,Confort Air
COH,Coltishall Flying Training Unit
COL,Columbia Airlines
COM,Comair
CON,Continental Oil
COO,Corporate Airlink
COP,Copper State Air Service
COT,Cottesmore Flying Training Unit
COV,Helicentre Coventry
COW,Cowi
COY,Coyne Aviation
COZ,Cosmic Air
CPA,Cathay Pacific
CPB,Corpac Canada
CPD,Capital Airlines
CPF,ATS Private Company
CPG,Corporacion Aeroangeles
CPH,Champagne Airlines
CPI,CAI
CPJ,Baltimore Air Transport
CPL,Chaparral Airlines
CPM,Compagnie Mauritanienne Des Transports
CPN,Caspian Airlines
CPO,Corporate Aircraft Company
CPR,Corporate Air
CPS,Compass International Airways
CPT,Corporate Air
CPV,Air Corporate
CPW,Chippewa Air Commuter
CPX,Capital Air Service
CPZ,Compass Airlines
CQC,Central Queensland Aviation College
CQH,Spring Airlines
CQN,Chongqing Airlines
CRA,Coronado Aerolineas
CRC,Conair Aviation
CRD,Air Corridor
CRE,Cree Airways
CRF,Air Central
CRG,Cargoitalia
CRH,CRI Helicopters Mexico
CRJ,Air Cruzal
CRK,Hong Kong Airlines
CRL,Corsairfly
CRM,Commander Mexicana
CRN,Empresa Aerocaribbean
CRO,Crown Airways
CRP,Aerotransportes Corporativos
CRQ,Air Creebec
CRR,Carranza
CRS,Comercial Aerea
CRT,Caribintair
CRV,Cargo Ivoire
CRW,Crownair
CRX,Cross Aviation
CRY,Primavia Limited
CRZ,Cruzeiro do Sul Servicos Aereos
CSA,Czech Airlines
CSC,Sichuan Airlines
CSD,Courier Services
CSE,CSE Aviation
CSF,Clasair
CSH,Shanghai Airlines
CSI,Central Skyport
CSJ,Castle Aviation
CSK,Flightcraft
CSL,California Air Shuttle
CSM,Ratkhan Air
CSN,China Southern Airlines
CSO,Casino Airline
CSP,Casper Air Service
CSQ,IBC Airways
CST,Coast Air
CSU,Chari Aviation Services
CSV,Coastal Travels
CSW,Worldwide Air Charter Systems
CSX,Choice Airways
CSY,Shuangyang General Aviation
CSZ,Shenzhen Airlines
CTA,Aero Charter and Transport
CTE,Air Tenglong
CTG,Canadian Coast Guard
CTH,China General Aviation Corporation
CTK,East Midlands Helicopters
CTL,Central Airlines
CTM,Commandement Du Transport Aerien Militaire Francais
CTN,Croatia Airlines
CTO,Cape Air Transport
CTP,Tashkent Aircraft Production Corporation
CTQ,CTK Network Aviation
CTR,Aerlineas Centauro
CTS,Center-South
CTT,Custom Air Transport
CTV,Escuela De Pilotos Are Aviacion
CTW,Cargo Three
CTY,Cryderman Air Service
CTZ,CATA L
CUA,China United Airlines
CUB,Cubana de Aviación
CUD,Air Cudlua
CUI,Cancun Air
CUK,Polo Aviation
CUO,Aerocuahonte
CUT,Court Helicopters
CVA,Air Chathams
CVC,Centre-Avia
CVE,Cabo Verde Express
CVF,Dassault Falcon Jet Corporation
CVG,Carill Aviation
CVL,Coval Air
CVO,Center Vol
CVR,Chevron U.S.A
CVT,Peran
CVU,Grand Canyon Airlines
CVV,Comeravia
CWA,Canadian Western Airlines
CWC,Centurion Air Cargo
CWD,Caernarfon Airworld
CWE,Celtic West
CWH,Canadian Warplane Heritage Museum
CWK,Comores Airlines
CWL,Cranwell Flying Training Unit
CWM,Air Marshall Islands
CWN,Cardiff Wales Flying Club
CWP,Australian Customs Service
CWS,California Western
CWT,Texas Airways
CWU,Wuhan Airlines
CWW,Canair
CWX,Crow Executive Air
CWY,Woodgate Executive Air Charter
CWZ,Capitol Wings Airline
CXA,Xiamen Airlines
CXH,China Xinhua Airlines
CXI,Shanxi Airlines
CXJ,Xinjiang Airlines
CXN,China Southwest Airlines
CXO,Conroe Aviation Services
CXP,Xtra Airways
CXS,Boston-Maine Airways
CYA,Cheyenne Airways
CYC,Cyprair Tours
CYD,Access Air
CYE,Aerocheyenne
CYF,Company Flight
CYG,Yana Airlines
CYH,Yunnan Airlines
CYL,Air One Cityliner
CYM,Compass Airlines (Australia)
CYN,Zhongyuan Aviation
CYO,Air Transport
CYP,Cyprus Airways
CYS,Cypress Airlines
CYT,Crystal Shamrock
CYZ,China Postal Airlines
CZV,Via Conectia Airlines
DAA,Decatur Aviation
DAB,Dassault Aviation
DAC,McDonnell Douglas
DAD,Dorado Air
DAE,DHL Aero Expreso
DAF,Danish Air Force
DAG,Dagestan Airlines
DAH,Air Algerie
DAK,First Flying
DAL,Delta Air Lines
DAM,Kyrgyzstan Department of Aviation
DAN,Dan-Air London
DAO,Daallo Airlines
DAP,Aerovias DAP
DAR,Danish Army
DAS,Damascene Airways
DAT,Brussels Airlines
DAU,Dauair
DAV,Dornier Aviation Nigeria
DAY,Daya Aviation
DBA,Air Alpha
DBD,Air Niagara Express
DBJ,Duchess of Britany (Jersey) Limited
DBK,Dubrovnik Air
DBR,Dutchbird
DCA,Dreamcatcher Airways
DCC,Caribbean Air Cargo
DCD,Air 26
DCE,Dutch Caribbean Express
DCL,Transportes Aereos Don Carlos
DCM,FLTPLAN
DCN,Federal Armed Forces
DCO,David Crawshaw Consultants Limited
DCS,Daimler Chrysler Aviation
DCT,Direct Flight
DCV,Discover Air
DCX,Daimler-Chrysler
DDA,D & D Aviation
DEA,Delta Aerotaxi
DEE,Dixie Airways
DEF,Aviation Defense Service
DEG,Air Service Groningen
DEI,Ecoair
DEL,Carib Aviation
DER,Deer Jet
DES,Chilcotin Caribou Aviation
DET,DETA Air
DEV,Red Devils Parachute Display Team
DFA,Aero Coach Aviation
DFS,Dwyer Aircraft Services
DGO,DGO Jet
DGT,Digital Equipment Corporation
DGX,Dasnair
DHA,Dahla Airlines
DHC,De Havilland
DHE,DAP Helicopteros
DHI,Adam Air
DHK,DHL Air
DHL,Astar Air Cargo
DHM,Archer Aviation
DHV,DHL Aviation
DHX,DHL International
DIA,Direct Air
DIC,Aeromedica
DIN,Aerodin
DIP,Diplomatic Freight Services
DIR,Dirgantara Air Service
DIS,Di Air
DIX,Dix Aviation
DJA,Antinea Airlines
DJB,Djibouti Airlines
DJE,Durango Jet
DJS,DayJet
DJT,Denver Jet
DJU,Air Djibouti
DKA,Daka
DKE,Jubilee Airways
DKH,Juneyao Airlines
DKN,Deccan Aviation
DKT,Sioux Falls Aviation
DKY,Servicios Aereos Elite
DLA,Air Dolomiti
DLH,Lufthansa
DLI,Delta Express International
DLK,Deccan Aviation (Lanka)
DLR,Dala Air Services
DLS,Aero Modelo
DLT,Deutsche Luftverkehrsgesellschaft
DLU,Aerolineas Del Sur
DMC,Aerodinamica de Monterrey
DME,Royal Flight
DMI,Aeroservicios Dinamicos
DML,Aerotaxis Dosmil
DMO,Domodedovo Airlines
DNA,Aerodespachos De El Salvador
DNC,Aeroynamics Malaga
DND,Eldinder Aviation
DNI,Servicios Aereos Denim
DNJ,Aerodynamics Incorporated
DNK,D&K Aviation
DNL,Dutch Antilles Express
DNM,Denim Air
DNR,Dynamair Aviation
DNU,Danu Oro Transportas
DNV,Aeroflot-Don
DNY,Danish Navy
DOA,Dominicana de Aviaci
DOB,Dobrolet
DOC,Norsk Luftambulanse
DOD,USAF Air Mobility Operations Control Center
DOI,U.S. Department of the Interior
DOJ,Justice Prisoner and Alien Transportation System
DOM,Dos Mundos
DON,Donair Flying Club
DOP,Dancopter
DOR,Dornier
DOT,Telnic Limited
DPL,Dome Petroleum
DQA,Island Aviation Services
DRB,Didier Rousset Buy
DRC,Triton Airlines
DRD,Air Madrid
DRE,Drummond Island Air
DRK,Druk Air
DRM,Airways Flight Training
DRN,Central De Discos De Reynosa
DRO,Aeronaves Del Noreste
DRT,Darta
DRU,Alrosa Mirny Air Enterprise
DRX,Des R Cargo Express
DRY,Deraya Air Taxi
DSA,Danbury Airways
DSC,Addis Air Cargo Services
DSH,Dash Air Charter
DSK,Aero Algarve
DSL,Meridian Aviation
DSM,LAN Argentina
DSN,DESNA
DSO,Dassault Falcon Service
DSQ,Dasab Airlines
DSR,DAS Air Cargo
DST,Aex Air
DSU,Delta State University
DSV,Direct Aero Services
DSY,Dennis Sky
DTA,TAAG Angola Airlines
DTH,Tassili Airlines
DTN,Data International
DTR,DAT Danish Air Transport
DTV,Centre Airlines
DTY,Destiny Air Services
DUB,Dubai Airwing
DUK,Ducair
DUN,Dun'Air
DUO,Duo Airways
DVA,Discovery Airways
DVB,Don Avia
DVI,Aero Davinci International
DWA,Dense Airways
DWD,Deutsche Luftverkehrsgesellschaft (DLT)
DWN,Dawn Air
DWR,Delaware Skyways
DWT,Darwin Airline
DWW,Jet Courier Service
DXH,East Star Airlines
DXP,Dallas Express Airlines
DXT,Dexter (DXT)
DYA,Dynamic Airways
DYE,Dynamic Air
DYN,Aero Dynamics
EAA,Eastok Avia
EAB,Swiss Eagle
EAC,Executive Air Charter
EAD,EAA Escola De Aviacao Aerocondor
EAE,Aeroservicios Ecuatorianos
EAF,European Aviation Air Charter
EAG,European Aeronautical Group UK
EAH,Baltimore Airways
EAI,Elite Air
EAK,Euro-Asia Air
EAL,European Air Express
EAM,Embassy Airlines
EAN,Skypower Express Airways
EAP,Aero-Pyrenees
EAQ,Eastern Australia Airlines
EAR,Transporte Ejecutivo Aereo
EAS,Executive Aerospace
EAT,Air Transport
EAV,Eastern Atlantic Virtual Airlines
EAX,Eastern Air Executive
EAY,Aero Airlines
EAZ,Eastern Air
EBA,Bond Aviation
EBC,Aero Ejecutivo De Baja California
EBE,Minebea Technologies
EBF,MSR Flug-Charter
EBG,Eurosense
EBJ,European Business Jets
ECA,Eurocypria Airlines
ECB,European Coastal Airlines
ECC,Crossair Europe
ECD,Ecotour
ECE,Air City
ECF,Eurocopter
ECG,Aero Ejecutivos RCG
ECI,Eastern Carolina Aviation
ECJ,East Coast Jets
ECL,Aeronautica Castellana
ECM,Aerolineas Comerciales
ECN,Euro Continental AIE
ECQ,Eco Air
ECS,Executive Aircraft Charter and Charter Services
ECT,East Coast Airways
ECU,Ecuavia
ECV,Ecuatoguineana De Aviacion (EGA)
ECX,Ecomex Air Cargo
ECY,Euroceltic Airways
EDA,Aerolineas Nacionales Del Ecuador
EDC,Edinburgh Air Charter
EDD,Lineas Aereas Ejectuivas De Durango
EDI,Eastern Atlantic Charters
EDJ,Edwards Jet Center of Montana
EDL,Polizeihubschrauberstaffel Bayern
EDO,Elidolomiti
EDR,Lineas Aereas Eldorado
EDW,Edelweiss Air
EEA,Empresa Ecuatoriana De Aviacion
EET,Air Este
EEU,Eurofly Service
EEZ,Eurofly
EFA,Far Eastern Air Transport
EFC,Air Mana
EFD,EFD Eisele Flugdienst
EFG,Elifriulia
EFS,EFAOS- Agencia De Viagens e Turismo
EFT,Embassy Freight Company
EFY,EasyFly
EGF,American Eagle Airlines
EGH,BBN-Airways
EGJ,Eagle Jet Charter
EGL,Capital Trading Aviation
EGN,Eagle Aviation France
EGO,Gauteng Air Cargo
EGR,Eagle Air
EGS,Eagles Airlines
EGU,Eagle Aviation
EGV,Enrique Gleisner Vivanco
EGX,Eagle Air Company
EGY,Egyptian Air Force
EHA,East Hampton Aire
EHD,E H Darby Aviation
EHM,Euro Harmony
EHN,East Horizon
EHR,Valfell-Verkflug
EIA,Evergreen International Airlines
EIC,Express International Cargo
EIJ,Efata Papua Airlines
EIN,Aer Lingus
EIR,Eirjet
EIS,EIS Aircraft
EIX,Ei Air Exports
EJA,NetJets
EJC,Grupo De Aviacion Ejecutiva
EJD,Elite Jets
EJM,Executive Jet Management
EJO,Execujet Middle East
EJP,Aeroservicios Ejecutivos Corporativos
EJS,Eurojet Servis
EJT,Eclipse Aviation
EJV,Compania Ejecutiva
EJX,Egyptian Aviation
EKA,Equaflight Service
EKC,East Kansas City Aviation
ELA,Eastland Air
ELB,Elieuro
ELC,Small Planet Airlines
ELG,Alpi Eagles
ELH,Elilario Italia
ELJ,Delta Air Elite
ELK,ELK Airways
ELL,Estonian Air
ELM,Crelam
ELO,Eurolot
ELR,Elrom Aviation and Investments
ELS,El Sal Air
ELT,Elliott Aviation
ELV,Transportes Aereos Nacionales De Selva Tans
ELW,Yellow Wings Air Services
ELX,Elan Express
ELY,El Al Israel Airlines
EMA,Egyptian Aviation Company
EMB,Empresa Brasileira De Aeronautica
EMD,Eaglemed (Ballard Aviation)
EME,Eastern Metro Express
EMI,Premium Air Shuttle
EMN,Examiner Training Agency
EMP,Empire Air Service
EMR,Zenmour Airlines
EMS,Aero Servicios Empresariales
EMT,Emetebe
EMU,East Asia Airlines
EMX,Euromanx Airways
ENA,Direccion General de Aviacion Civil y Telecomunicasciones
ENC,Endecots
END,Arrendoora y Transportadora Aerea
ENI,Enimex
ENJ,Enerjet
ENK,Enkor JSC
ENR,Scenic Air
ENS,Entergy Services
ENT,DAT Enterprise Limited
ENV,Victoria Aviation
ENW,Aeronaves Del Noroeste
ENY,Envoy Air
ENZ,Jota Aviation
EOA,Elilombarda
EOL,Airailes
EOM,Aero Ermes
EOS,Eliossola
EPA,Shenzhen Donghai Airlines
EPB,Eastern Pacific Aviation
EPC,Espace Aviation Services
EPE,Aero Empresarial
EPL,Aero Transportes Empresariales
EPS,Epps Air Service
EQC,Ecuatorial Cargo
EQL,Air S
EQT,Equatorial Airlines
EQZ,Equatair Air Services (Zambia)
ERC,Esso Resources Canada
ERE,Erie Airways
ERF,Erfoto
ERG,Avianergo
ERH,Era Helicopters
ERI,Aero Servicios Regiomontanos
ERJ,Eurojet Italia
ERK,Aerosec
ERM,Aeromaan
ERO,Sun D'Or
ERR,Era Alaska
ERT,Eritrean Airlines
ERV,Yerevan-Avia
ERX,Earth Airlines Services
ESB,Aerosaba
ESC,El Sol De America
ESE,Ensenada Vuelos Especiales
ESF,Estafeta Carga Aerea
ESI,ESI Eliservizi Italiani
ESJ,Eastern Sky Jets
ESK,SkyEurope
ESL,Russian Sky Airlines
ESN,Euro Sun
ESO,Avitat
ESR,Eastar Jet
ESS,Eos Airlines
EST,Carga Express Internacional
ESU,Aerolineas Ejecutivas Del Sureste
ESX,Euroskylink
ESZ,Aeronautica Le Esperanza
ETA,Estrellas Del Aire
ETC,ATTICO
ETD,Etihad Airways
ETE,Aero Siete
ETH,Ethiopian Airlines
ETL,Patterson Aviation Company
ETM,Etram Air Wing
ETN,Chim-Nir Aviation
ETP,Empire Test Pilots' School
ETS,Flygtransporter I Nykoping
ETV,European Executive
EUC,Eurocontrol
EUD,Air Italy Egypt
EUG,Euroguineana de Aviacion
EUJ,EUjet
EUK,Air Atlanta Europe
EUP,Euroair
EUT,European 2000 Airlines
EUU,Euroamerican Air
EUV,EuropeSky
EUY,EU Airways
EVA,EVA Air
EVC,Comfort Express Virtual Charters Albany
EVE,Air Evex
EVM,Natural Environment Research Council
EVN,Euraviation
EVR,Aeronautical Academy of Europe
EWA,East-West Airlines
EWG,Eurowings
EWS,Enterprise World Airways
EWW,Emery Worldwide Airlines
EXA,Execair Aviation
EXB,Brazilian Army Aviation
EXC,European Executive Express
EXE,Executive Flight
EXF,Eximflight
EXG,Air Exchange
EXH,G5 Executive
EXJ,Executive Jet Charter
EXK,Executive Airlines
EXL,Sunshine Express Airlines
EXM,United Kingdom Civil Aviation Authority
EXN,Exin
EXP,Business Express Delivery
EXR,Expertos En Carga
EXS,Jet2.com
EXT,Night Express
EXU,Executive Airlines
EXV,Expo Aviation
EXW,Executive Airlines Services
EXX,International Air Corporation
EXY,South African Express
EXZ,East African Safari Air Express
EYE,F.S. Air Service
EZA,Eznis Airways
EZB,Flugschule Eichenberger
EZE,Eastern Airways
EZY,easyJet
FAB,First Air
FAC,Atlantic Helicopters
FAD,Rog-Air
FAE,Freshaer
FAF,Force Aerienne Francaise
FAG,Argentine Air Force
FAH,Farnair Hungary
FAJ,Air Fiji
FAK,Financial Airxpress
FAL,Friendship Air Alaska
FAM,Fumigacion Aerea Andaluza
FAN,AF-Air International
FAO,Falcon Air Express
FAP,Parsons Airways Northern
FAR,Falcon Air
FAS,Freedom Airways
FAT,Farnair Switzerland
FAU,Falcon Airline
FAV,Fair Aviation
FAW,Falwell Aviation
FAX,Midwest Air Freighters
FAY,Fayban Air Services
FAZ,Flint Aviation Services
FBA,Fab Air
FBF,Fine Airlines
FBL,Fly Brasil
FBO,TAG Farnborough Airport
FBW,Aviation Data Systems
FCA,First Choice Airways
FCB,COBALT
FCC,First Cambodia Airlines
FCE,Flycolumbia
FCI,Air Carriers
FCK,Flight Calibration Service
FCL,Florida Coastal Airlines
FCM,Flybe Finland Oy
FCN,Falcon Air
FCO,Aerofrisco
FCP,Flight Corporation
FCR,Flying Carpet Company
FCS,Facts Air
FCT,Fly CI Limited
FCU,Alfa 4
FCV,Flight Centre Victoria
FDA,African Airlines
FDB,Fly Dubai
FDD,Feeder Airlines
FDF,IVV Femida
FDL,Farmingdale State University
FDN,Flying Dolphin Airlines
FDO,France Douanes
FDP,Flight Dispatch Services
FDR,Federal Air
FDS,African Medical and Research Foundation
FDX,Federal Express
FEC,Denver Express
FED,Lineas Aereas Federales
FEE,Fly Europa Limited
FEG,FlyEgypt
FEI,Eagle Air Iceland
FEO,Aeroferinco
FER,Feria Aviacion
FES,Aero Taxis Y Servicios Alfe
FEX,Flightexec
FFA,Avialesookhrana
FFB,Africair Service
FFC,Fairoaks Flight Centre
FFD,Stuttgarter Flugdienst
FFF,Freedom Air Services
FFG,Flugdienst Fehlhaber
FFH,Shalom Air Services
FFI,Infinit Air
FFL,Intavia Limited
FFM,Firefly
FFP,Fischer Air Polska
FFR,Fischer Air
FFS,Florida Department of Agriculture
FFT,Frontier Airlines
FFU,GEC Marconi Avionics
FFV,Fly540
FFY,Fun Flying Thai Air Service
FGA,Georgian Aviation Federation
FGC,Departmento De Agricultura De La Generalitat De Cataluna
FGL,Futura Gael
FGN,Gendarmie Nationale
FGP,Flying-Research Aerogeophysical Center
FGS,Elitellina
FGT,Aero Freight
FGY,Froggy Corporate Aviation
FHE,Hello
FHI,FlyHigh Airlines Ireland (FH)
FHL,Fast Helicopters
FHS,Forth and Clyde Helicopter Services
FHY,Free Bird Airlines
FIA,Four Island Air
FIC,Aerosafin
FIF,Air Finland
FII,Aerodata Flight Inspection
FIL,Fly Line
FIN,Finnair
FIR,First Line Air
FIV,Citationshares
FIX,Airfix Aviation
FJC,Falcon Jet Centre
FJE,Silverjet
FJI,Air Pacific
FJM,Fly Jamaica Airways
FJS,Florida Jet Service
FKA,Flying kangaroo Airline
FKI,FLM Aviation Mohrdieck
FKL,Kelner Airways
FKS,Focus Air
FLA,Midway Express
FLB,German Air Force - FLB
FLC,FINFO Flight Inspection Aircraft
FLD,Air Falcon
FLE,Flair Airlines
FLF,Friendship Airlines
FLG,Pinnacle Airlines
FLH,Sky Bus
FLI,Atlantic Airways
FLK,Flylink Express
FLL,Federal Airlines
FLM,Fly Air
FLN,Flamingo Air-Line
FLO,Flycom
FLP,Aeroclub Flaps
FLR,Fleetair
FLS,Fairlines
FLT,Flightline
FLU,Flugschule Basel
FLW,FLowair Aviation
FLX,Flight Express
FLY,Fly Me Sweden
FLZ,Air Florida
FMC,Claessens International Limited
FMG,FMG Verkehrsfliegerschule Flughafen Paderborn-Lippstadt
FMR,Flamingo Air
FMS,Hadison Aviation
FMT,Air Fret De Mauritanie
FMY,Aviation Legere De L'Armee De Terre
FNA,Norlandair
FNC,Finalair Congo
FNF,Finnish Air Force
FNG,Frontier Guard
FNK,Feniks Airline
FNL,Oulun Tilauslento
FNM,Avio Nord
FNO,Aeroflota Del Noroeste
FNT,L-3 Communications Flight Internation Aviation
FNV,Transaviaservice
FNX,Aero Fenix
FNY,France Marine Nationale
FOB,Ford Motor Company
FOC,Office Federal De'Aviation Civile
FOF,Fred. Olsen
FOI,Flight Ops International
FOM,Freedom Air
FOP,Fokker
FOR,Formula One Management
FOS,Formosa Airlines
FOX,FOX Linhas Aereas
FPA,Flygprestanda
FPG,TAG Aviation
FPO,Europe Airpost
FPR,Peruvian Air Force
FPS,Flightpass Limited
FPT,FlyPortugal
FPY,African Company Airlines
FQR,CheapFlyingInternational
FRA,FR Aviation
FRC,Icare Franche Compte
FRD,Ford Motor Company
FRE,Freedom Air
FRF,Fly France
FRG,Freight Runners Express
FRJ,Afrijet Airlines
FRK,Afrika Aviation Handlers
FRL,Freedom Airlines
FRM,Federal Armored Service
FRN,Farnair Netherlands
FRQ,Afrique Chart'air
FRR,Fresh Air
FRT,Aerofreight Airlines
FRW,Farwest Airlines
FSA,Foster Aviation
FSB,FSB Flugservice & Development
FSC,Four Star Aviation / Four Star Cargo
FSD,EFS-Flugservice
FSH,Flash Airlines
FSL,Flight Safety Limited
FSR,Flightstar Corporation
FST,Aereos Limited
FSU,Flight Support Sweden
FSW,Faso Airways
FSX,Flagship Express Services
FTA,Frontier Flying Service
FTC,Air Affaires Tchad
FTE,Fotografia F3
FTI,FTI Fluggesellschaft
FTM,Flyteam Aviation
FTP,Keystone Aerial Surveys
FTR,Finist'air
FTS,First Sabre
FTY,ABC Bedarsflug
FUA,Futura International Airways
FUJ,Fujairah Aviation Centre
FUN,Funtshi Aviation Service
FVA,Cardinal/Air Virginia
FVG,VG Airlines (IV)
FVM,Flugfelag Vestmannaeyja
FVS,Falcon Aviation Services
FWA,Interstate Airline
FWC,Freeway Air
FWD,Fair Wind Air Charter
FWI,Air Caraïbes
FWL,Florida West International Airways
FWQ,Flight West Airlines
FWY,Fairways Corporation
FWZ,Flugwerkzeuge Aviation Software
FXA,Express Air
FXC,Fortunair Canada
FXF,VIP Air Charter
FXI,Air Iceland
FXL,Fly Excellent
FXR,Foxair
FXT,Flexflight
FXX,Felix Airways
FXY,Flexair
FYA,Servicios Aereos Integrales / Flyant
FYE,Easy Link Aviation Services
FYG,Flying Service
FYH,Flyhy Cargo Airlines
FYJ,FLYJET
FYN,Comfort Air
FYS,American Flyers
FZA,Fuzhou Airlines
FZW,Fly Africa Zimbabwe
GAA,Business Express
GAB,Gendall Air
GAD,South Coast Aviation
GAE,Grand Aire Express
GAF,German Air Force
GAG,Global Air Operations
GAH,Ga-Ma Helicoptere
GAI,Moskovia Airlines
GAK,Global Aviation and Services Group
GAL,Galaxy Air
GAM,German Army
GAN,Gander Aviation
GAO,Golden Air
GAP,Air Philippines
GAQ,Golfe Air Quebec
GAR,Commodore Aviation
GAS,Galena Air Service
GAT,Gulf Air Inc
GAU,Aerogaucho
GAV,Granada Aviacion
GAX,Full Express
GBA,Gulf Air Bahrain
GBB,Global Aviation Operations
GBE,Gabon Express
GBJ,Aero Business Charter
GBK,Gabon Airlines
GBL,GB Airways
GBN,Atlantic Airlines
GBO,Ogooue Air Cargo
GBR,Rader Aviation
GBS,Global Air Services Nigeria
GBT,Gold Belt Air Transport
GBX,GB Airlink
GCA,Grand Cru Airlines
GCB,Lignes Nationales Aeriennes - Linacongo
GCC,GECAS
GCF,Aeronor
GCK,Aerogem Cargo
GCN,Gulf Central Airlines
GCO,Gemini Air Cargo
GCR,Tianjin Airlines
GCS,GCS Air Service
GDA,GoldAir
GDB,Gendarmerie Belge
GDC,Grand China Air
GDD,Golden Airlines
GDE,Servicios Aereos Gadel
GDG,S.P. Aviation
GDH,Guneydogu Havacilik Isletmesi
GDK,Goldeck-Flug
GDN,Gerry's Dnata
GDQ,Lincoln Air National Guard
GDR,Gadair European Airlines
GEA,Guinea Ecuatorial Airlines
GEC,Lufthansa Cargo
GED,Europe Air Lines
GEE,Geesair
GEG,Georgian Airlines
GEN,GENSA
GER,German International Air Lines
GES,Gestair
GET,GETRA
GFA,Gulf Air
GFC,Gail Force Express
GFD,Gesekkschaft Fur Flugzieldarstellung
GFF,Griffin Aviation
GFG,Georgian National Airlines
GFI,Caribbean Star Airlines
GFN,The 955 Preservation Group
GFO,Aerovias del Golfo
GFS,Gulfstream Airlines
GFT,Gulfstream International Airlines
GFW,GFW Aviation
GFY,Greenfly
GGA,First Flying Squadron
GGC,Cargo 360
GGE,Gobierno De Guinea Ecuatorial
GGF,Georgian Cargo Airlines Africa
GGL,Aeronautica
GGN,Air Georgian
GGS,GATSA
GGV,Houston Jet Services
GGZ,Global Georgian Airways
GHA,Ghana Airways
GHB,Ghana International Airlines
GHI,GH Stansted Limited
GHL,Aviance
GHN,Air Ghana
GHP,Colvin Aviation
GHS,Gatari Hutama Air Services
GHT,Ghadames Air Transport
GHV,Ground Handling Service de Mexico
GHY,German Sky Airlines
GIA,Garuda Indonesia
GIB,GR-Avia
GIC,Compagnie de Bauxites de Guinee
GIE,Elysian Airlines
GIF,Guinee Airlines
GIG,Gacela Air Cargo
GIH,Union des Transports Africains de Guinee
GIJ,Guinea Airways
GIK,Seba Airlines
GIL,African International Transport
GIP,Air Guinee Express
GIQ,Guinee Paramount Airlines
GIY,Probiz Guinee
GIZ,Africa Airlines
GJA,Globe Jet
GJB,Trans-Air-Link
GJS,GoJet Airlines
GJT,Gestion Aerea Ajecutiva
GKA,US Army Parachute Team
GLA,Great Lakes Airlines
GLB,Air Castle Corporation / Global Airways
GLC,Global Aircargo
GLD,Golden Star Air Cargo
GLE,Goliaf Air
GLF,Gulfstream Aerospace
GLG,Aerolineas Galapagos (Aerogal)
GLJ,Global Jet Austria
GLL,Air Gemini
GLO,Gol Transportes Aéreos
GLP,Globus
GLQ,El Quilada International Aviation
GLR,Central Mountain Air
GLS,Galaircervis
GLT,Aero Charter
GLU,Great Lakes Airways (Uganda)
GLW,Global Wings
GMA,Gama Aviation
GMC,General Motors
GME,Aguilas Mayas Internacional
GMG,GM Helicopters
GMH,Hughes Aircraft Company
GMI,Germania
GMJ,Gamisa Aviacion
GML,G & L Aviation
GMM,Aerotaxis Guamuchil
GMR,Golden Myanmar Airlines
GMS,Aeroservicios Gama
GMT,Grupoaereo Monterrey
GNA,Servicios Aereos Gana
GNC,Guinea Cargo
GND,Grand Airways
GNF,Gandalf Airlines
GNJ,Gain Jet Aviation
GNL,135 Airways
GNN,Georgian International Airlines
GNR,Gambia International Airlines
GNS,Eastern Executive Air Charter
GNT,Amber Air
GNX,Genex
GNY,German Navy
GNZ,General Aviation
GOA,Alberta Government
GOB,Dash Aviation
GOD,GoDutch
GOE,Go Fly (United Kingdom)
GOF,Gof-Air
GOI,Gofir
